SCHOOL_ID,EXAMEN_JAAR,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,AANTAL_LEERLINGEN_EXAMEN,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
013ER,2015,Koningin Emmaschool,8262AN,KAMPEN,166,Kampen,Overijssel,Bo,Protestants-Christelijk,41125,21.0,DREMPEL,21,106.1
013ES,2015,De Bron,3224TT,HELLEVOETSLUIS,530,Hellevoetsluis,Zuid-Holland,Bo,Protestants-Christelijk,41507,37.0,CET,36,533.9
013EZ,2015,Basissch Klein Heyendaal,6524NP,NIJMEGEN,268,Nijmegen,Gelderland,Bo,Rooms-Katholiek,47100,63.0,CET,63,538.9
013FE,2015,De Rank,8315AM,LUTTELGEEST,171,Noordoostpolder,Flevoland,Bo,Protestants-Christelijk,52274,10.0,CET,10,534.5
013FF,2015,Basissch Harmpje Visser,8322BA,URK,184,Urk,Flevoland,Bo,Protestants-Christelijk,53015,46.0,IEP,46,78.6
013FI,2015,De Regenboog,7671ZX,VRIEZENVEEN,1700,Twenterand,Overijssel,Bo,Protestants-Christelijk,61751,17.0,CET,17,542.9
013FK,2015,Basisschool de Blokwhere,1132NA,VOLENDAM,385,Edam-Volendam,Noord-Holland,Bo,Rooms-Katholiek,72853,27.0,CET,27,537.9
013FM,2015,De Visserschool,1057VB,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Protestants-Christelijk,81316,14.0,CET,14,537.0
013FR,2015,Basisschool Valentijn,1095VZ,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Protestants-Christelijk,81316,12.0,CET,12,531.5
013FU,2015,Basisschool op de Esch,9551BM,SELLINGEN,48,Vlagtwedde,Groningen,Bo,Openbaar,10925,11.0,CET,11,527.0
013FW,2015,OBS De Regenboog,7776BA,SLAGHAREN,160,Hardenberg,Overijssel,Bo,Openbaar,41630,9.0,CET,9,534.0
013GC,2015,BS De Tweemaster,4201HR,GORINCHEM,512,Gorinchem,Zuid-Holland,Bo,"Samenwerking Opb., RK",41386,21.0,CET,21,532.2
013GD,2015,Obs de Tandem,9301PK,RODEN,1699,Noordenveld,Drenthe,Bo,Openbaar,11711,17.0,CET,17,541.5
013GL,2015,Basisschool de Peperklip,3112ZM,SCHIEDAM,606,Schiedam,Zuid-Holland,Bo,Openbaar,41567,33.0,DREMPEL,33,95.6
013GN,2015,Bs Giethoorn Noord,8355BB,GIETHOORN,1708,Steenwijkerland,Overijssel,Bo,Openbaar,41816,17.0,CET,17,537.6
013GQ,2015,De Schuthoek,7908EE,HOOGEVEEN,118,Hoogeveen,Drenthe,Bo,Openbaar,42557,37.0,CET,37,537.0
013GU,2015,OBS de Viermaster,9642KX,VEENDAM,47,Veendam,Groningen,Bo,Openbaar,41780,41.0,CET,41,535.6
013GW,2015,De Gouwaert,3267AN,GOUDSWAARD,588,Korendijk,Zuid-Holland,Bo,Openbaar,41444,7.0,CET,7,538.6
013HA,2015,Basisschool de Velden,8391KG,NOORDWOLDE FR,98,Weststellingwerf,Friesland,Bo,Openbaar,41631,9.0,DREMPEL,9,102.2
013HB,2015,OBS de Waterlelie,9673BL,WINSCHOTEN,1895,Oldambt,Groningen,Bo,Openbaar,41613,26.0,CET,25,533.6
013HC,2015,Obs Remix,3235BR,ROCKANJE,614,Westvoorne,Zuid-Holland,Bo,Openbaar,41570,46.0,CET,46,535.4
013HD,2015,OBS Louis Buelens,5632PD,EINDHOVEN,772,Eindhoven,Noord-Brabant,Bo,Openbaar,41248,20.0,CET,20,527.0
013HE,2015,Zwetteschool,8603BP,SNEEK,1900,S·dwest-FryslÔn,Friesland,Bo,Openbaar,42546,25.0,CET,25,535.7
013HI,2015,Burg Westerbeekschool,4064CL,VARIK,304,Neerijnen,Gelderland,Bo,Openbaar,41561,29.0,CET,29,536.1
013HJ,2015,Obs Wis en Wierig,7011BP,GAANDEREN,222,Doetinchem,Gelderland,Bo,Openbaar,41371,29.0,CET,29,541.8
013HN,2015,PC Bs het Kompas,2922GN,KRIMPEN AAN DEN IJSSEL,542,Krimpen aan den IJssel,Zuid-Holland,Bo,Protestants-Christelijk,43227,62.0,CET,61,533.6
013HQ,2015,RK Basissch St Paulus,5402XH,UDEN,856,Uden,Noord-Brabant,Bo,Rooms-Katholiek,32177,12.0,CET,12,533.8
013HR,2015,Het Erf,3902CZ,VEENENDAAL,345,Veenendaal,Utrecht,Bo,Protestants-Christelijk,41154,43.0,CET,42,533.9
013HT,2015,Basisschool Sint Jozef,6606AJ,NIFTRIK,296,Wijchen,Gelderland,Bo,Rooms-Katholiek,38001,6.0,CET,6,530.3
013HU,2015,Basisschool de Beemd,5482HA,SCHIJNDEL,844,Schijndel,Noord-Brabant,Bo,Rooms-Katholiek,40874,48.0,CET,48,529.1
013HV,2015,PC Bs de Regenboog,2353PL,LEIDERDORP,547,Leiderdorp,Zuid-Holland,Bo,Protestants-Christelijk,41316,25.0,CET,25,542.3
