SCHOOL_ID,EXAMEN_JAAR,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,AANTAL_LEERLINGEN_EXAMEN,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
000AP,2015,De Schanskorf,2715BT,ZOETERMEER,637,Zoetermeer,Zuid-Holland,Bo,Gereformeerd vrijgemaakt,41646,11.0,CET,11,534.3
000AR,2015,"BS ""De Maasparel""",6109AM,OHE EN LAAK,1641,Maasgouw,Limburg,Bo,Rooms-Katholiek,41797,18.0,CET,18,539.8
000AZ,2015,De Kiezel en de Kei,2971AR,BLESKENSGRAAF CA,1927,Molenwaard,Zuid-Holland,Bo,Openbaar,41638,24.0,CET,22,532.9
000BA,2015,OBS De Klimboom,6666EB,HETEREN,1734,Overbetuwe,Gelderland,Bo,Openbaar,41530,11.0,CET,11,536.2
000BB,2015,Obs Letterwies,9944AR,NIEUWOLDA,1895,Oldambt,Groningen,Bo,Openbaar,41613,16.0,CET,16,531.3
000BS,2015,Geref Basisschool,7711KP,NIEUWLEUSEN,148,Dalfsen,Overijssel,Bo,Gereformeerd vrijgemaakt,41168,15.0,CET,15,536.3
000BW,2015,Jenaplanschool De Vlieger,6131KJ,SITTARD,1883,Sittard-Geleen,Limburg,Bo,Algemeen bijzonder,41516,11.0,CET,11,533.4
000CD,2015,Lockaert,5345JG,OSS,828,Oss,Noord-Brabant,Bo,Algemeen bijzonder,80628,25.0,CET,25,535.3
000CG,2015,De Harlekijn,6372AC,LANDGRAAF,882,Landgraaf,Limburg,Bo,Openbaar,41516,42.0,CET,40,536.7
000CS,2015,De Leilinde,9671JA,WINSCHOTEN,1895,Oldambt,Groningen,Bo,Gereformeerd vrijgemaakt,41025,5.0,CET,5,538.0
000CU,2015,Basisschool Zilverlinde,4707HS,ROOSENDAAL,1674,Roosendaal,Noord-Brabant,Bo,Antroposofisch,41246,10.0,DREMPEL,10,111.5
000CV,2015,School Matthijsje,8388NA,OOSTERSTREEK,98,Weststellingwerf,Friesland,Bo,Algemeen bijzonder,20210,5.0,DREMPEL,5,115.0
000DA,2015,Chr BS Betrouwen,9243SJ,BAKKEVEEN,86,Opsterland,Friesland,Bo,Protestants-Christelijk,30051,7.0,DREMPEL,7,107.7
000DD,2015,Basissch Het Startnest,1422LE,UITHOORN,451,Uithoorn,Noord-Holland,Bo,Rooms-Katholiek,30090,45.0,ROUTE8,45,207.1
000DM,2015,De Bolderik,5473PG,HEESWIJK-DINTHER,1721,Bernheze,Noord-Brabant,Bo,Openbaar,13674,26.0,CET,26,532.5
000DN,2015,De Bundeling,6241BB,BUNDE,938,Meerssen,Limburg,Bo,Openbaar,42669,13.0,CET,13,531.9
000DO,2015,Van Rijckevorsel,3151CJ,HOEK VAN HOLLAND,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,22.0,CET,22,534.0
000DW,2015,De Trompetter,6986AT,ANGERLO,299,Zevenaar,Gelderland,Bo,Rooms-Katholiek,61284,26.0,CET,26,533.1
000DX,2015,Vrije School Assen,9404KK,ASSEN,106,Assen,Drenthe,Bo,Antroposofisch,77456,22.0,DREMPEL,22,105.6
000DY,2015,Basisschool De Wegwijzer,8084GK,'T HARDE,230,Elburg,Gelderland,Bo,Gereformeerd vrijgemaakt,41632,14.0,CET,12,535.6
000DZ,2015,Agnieten-School,8081NB,ELBURG,230,Elburg,Gelderland,Bo,Rooms-Katholiek,40950,8.0,CET,8,534.4
000EB,2015,Bs Het Telraam,5441AK,OEFFELT,756,Boxmeer,Noord-Brabant,Bo,Rooms-Katholiek,48348,26.0,CET,26,533.0
000EI,2015,Reform Basisschool,3286BC,KLAASWAAL,611,Cromstrijen,Zuid-Holland,Bo,Reformatorisch,30133,14.0,CET,14,527.6
000FE,2015,Geref Basissch De Halm,4286BV,ALMKERK,874,Woudrichem,Noord-Brabant,Bo,Gereformeerd vrijgemaakt,41646,12.0,CET,12,532.1
000FG,2015,BS De Triangel,7557KJ,HENGELO OV,164,Hengelo,Overijssel,Bo,Gereformeerd vrijgemaakt,41624,14.0,CET,14,533.2
000FI,2015,Samenw Basisschool Pork,9561CB,TER APEL,48,Vlagtwedde,Groningen,Bo,Algemeen bijzonder,45000,24.0,CET,24,537.5
000FQ,2015,Montessori BS De Kraal,4691HT,THOLEN,716,Tholen,Zeeland,Bo,Algemeen bijzonder,30124,12.0,CET,12,533.2
000GQ,2015,Rehoboth Basisschool,2404GM,ALPHEN AAN DEN RIJN,484,Alphen aan den Rijn,Zuid-Holland,Bo,Reformatorisch,20183,15.0,CET,15,533.3
000GR,2015,Kristal,8181AN,HEERDE,246,Heerde,Gelderland,Bo,Gereformeerd vrijgemaakt,41632,8.0,CET,8,537.0
000GV,2015,Basisschool Maria-School,7661RA,VASSE,183,Tubbergen,Overijssel,Bo,Rooms-Katholiek,50949,29.0,CET,29,535.0
000GX,2015,RK BS St Jacobus,6675BB,VALBURG,1734,Overbetuwe,Gelderland,Bo,Rooms-Katholiek,28147,26.0,CET,26,537.7
000GZ,2015,Maharishi Basisschool,8226LP,LELYSTAD,995,Lelystad,Flevoland,Bo,Algemeen bijzonder,41335,11.0,CET,11,536.5
000HA,2015,Ref Basissch Augustinus,3851BH,ERMELO,233,Ermelo,Gelderland,Bo,Reformatorisch,30128,25.0,CET,25,535.4
000HH,2015,OBS De Vliete,4491GB,WISSENKERKE,1695,Noord-Beveland,Zeeland,Bo,Openbaar,41670,18.0,CET,18,530.9
000HZ,2015,Klavertje 4,3421XL,OUDEWATER,589,Oudewater,Utrecht,Bo,Algemeen bijzonder,20252,32.0,CET,32,533.8
000IF,2015,RK BS Heilig Hart,7666LH,FLERINGEN,183,Tubbergen,Overijssel,Bo,Rooms-Katholiek,50949,21.0,CET,21,536.2
000IJ,2015,PC BS De Schaapskooi,7443HC,NIJVERDAL,163,Hellendoorn,Overijssel,Bo,Protestants-Christelijk,85600,31.0,CET,31,532.4
000IM,2015,Joos v Larensch,4341ER,ARNEMUIDEN,687,Middelburg,Zeeland,Bo,Reformatorisch,30145,6.0,CET,6,535.2
000JL,2015,SSBO Kingma,3817GA,AMERSFOORT,307,Amersfoort,Utrecht,Sbo,Algemeen bijzonder,21881,32.0,DREMPEL,30,84.4
000JX,2015,SSBO Wending,1187BT,AMSTELVEEN,362,Amstelveen,Noord-Holland,Sbo,Openbaar,41580,31.0,DREMPEL,28,86.9
000JY,2015,SSBO Kompas,1784MC,DEN HELDER,400,Den Helder,Noord-Holland,Sbo,Algemeen bijzonder,30742,29.0,DREMPEL,27,72.7
000MN,2015,Chr SSBO De Burcht,2983AK,RIDDERKERK,597,Ridderkerk,Zuid-Holland,Sbo,Protestants-Christelijk,80433,26.0,DREMPEL,16,81.0
000NY,2015,SSBO De Veste,4691CK,THOLEN,716,Tholen,Zeeland,Sbo,Algemeen bijzonder,40876,9.0,DREMPEL,8,77.1
000UE,2015,SBO De Steenen Kamer,3332KP,ZWIJNDRECHT,642,Zwijndrecht,Zuid-Holland,Sbo,Algemeen bijzonder,41417,35.0,DREMPEL,33,75.7
000UI,2015,SSBO St Michael,3814RV,AMERSFOORT,307,Amersfoort,Utrecht,Sbo,Rooms-Katholiek,71488,39.0,DREMPEL,34,81.3
000UN,2015,Tijstroom,1503TS,ZAANDAM,479,Zaanstad,Noord-Holland,Sbo,Interconfessioneel,41251,13.0,CET,10,521.1
000ZS,2015,SSBO Elim,7462TK,RIJSSEN,1742,Rijssen-Holten,Overijssel,Sbo,Protestants-Christelijk,77196,13.0,CET,13,516.3
001AC,2015,SSBO De Driemaster,8251GP,DRONTEN,303,Dronten,Flevoland,Sbo,Algemeen bijzonder,61778,19.0,DREMPEL,19,76.2
001JQ,2015,SSBO De Windvang,2221SC,KATWIJK ZH,537,Katwijk,Zuid-Holland,Sbo,Protestants-Christelijk,41008,42.0,DREMPEL,25,72.9
001VE,2015,Geref Basissch De Bron,3771CS,BARNEVELD,203,Barneveld,Gelderland,Bo,Gereformeerd vrijgemaakt,40945,21.0,CET,21,535.3
001VI,2015,Chr Basissch De Wingerd,3813LW,AMERSFOORT,307,Amersfoort,Utrecht,Bo,Protestants-Christelijk,30010,29.0,CET,29,536.8
001VQ,2015,Rk Bs Beekvliet,1991ET,VELSERBROEK,453,Velsen,Noord-Holland,Bo,Rooms-Katholiek,40257,57.0,IEP,56,81.6
001VR,2015,Montessorischool,2912CR,NIEUWERKERK AD IJSSEL,1892,Zuidplas,Zuid-Holland,Bo,Algemeen bijzonder,41226,32.0,CET,31,535.4
001VY,2015,Basissch De Lingewaard,4241CA,ARKEL,689,Giessenlanden,Zuid-Holland,Bo,Openbaar,41638,42.0,CET,42,532.1
001WQ,2015,Geref Basissch De Rank,9301KE,RODEN,1699,Noordenveld,Drenthe,Bo,Gereformeerd vrijgemaakt,42607,11.0,CET,11,541.4
001WR,2015,Sterrenschool Ermelo,3851ZK,ERMELO,233,Ermelo,Gelderland,Bo,Gereformeerd vrijgemaakt,40945,7.0,CET,7,528.7
001XH,2015,Basisschool De Ammers,2964CC,GROOT-AMMERS,1927,Molenwaard,Zuid-Holland,Bo,Openbaar,41638,11.0,CET,11,532.7
001XU,2015,Hildegaertschool,3055TE,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Protestants-Christelijk,40774,54.0,CET,54,541.7
002SG,2015,SBO De Toermalijn,5702PT,HELMOND,794,Helmond,Noord-Brabant,Sbo,Rooms-Katholiek,74010,56.0,CET,15,531.5
002XG,2015,SSBO Mozaik,5061TB,OISTERWIJK,824,Oisterwijk,Noord-Brabant,Sbo,Rooms-Katholiek,40947,19.0,DREMPEL,13,79.0
002ZF,2015,OBS Hendrik V Brederode,4233HG,AMEIDE,707,Zederik,Zuid-Holland,Bo,Openbaar,41638,9.0,CET,9,531.3
002ZW,2015,Geref Bs 't Schrijvertje,7322CL,APELDOORN,200,Apeldoorn,Gelderland,Bo,Gereformeerd vrijgemaakt,40945,17.0,CET,17,537.6
002ZY,2015,Geref Bs De Wingerd,4464JA,GOES,664,Goes,Zeeland,Bo,Gereformeerd vrijgemaakt,41646,32.0,CET,32,538.0
003AG,2015,PC Basissch De Hoeksteen,1991ET,VELSERBROEK,453,Velsen,Noord-Holland,Bo,Protestants-Christelijk,26158,28.0,CET,28,535.1
003AH,2015,Venlose Montessorischool,5914SH,VENLO,983,Venlo,Limburg,Bo,Algemeen bijzonder,41167,41.0,CET,41,534.0
003AI,2015,De Kleine Prins,7007BK,DOETINCHEM,222,Doetinchem,Gelderland,Bo,Antroposofisch,77456,10.0,CET,10,534.3
003AP,2015,Basisschool De Belhamel,5551EG,VALKENSWAARD,858,Valkenswaard,Noord-Brabant,Bo,Openbaar,41662,15.0,CET,14,538.9
003AZ,2015,Geref Basissch De Rank,1817HJ,ALKMAAR,361,Alkmaar,Noord-Holland,Bo,Gereformeerd vrijgemaakt,41646,19.0,CET,19,536.4
003BR,2015,Basisschool De Kring,6191TR,BEEK LB,888,Beek,Limburg,Bo,Openbaar,83280,18.0,CET,18,534.7
003BS,2015,OBS Dr M L Kingschool,7591XJ,DENEKAMP,1774,Dinkelland,Overijssel,Bo,Openbaar,41565,16.0,CET,15,536.8
003BU,2015,Basisischool Margriet,1165GL,HALFWEG NH,393,Haarlemmerliede en Spaarnwoude,Noord-Holland,Bo,Openbaar,41500,12.0,DREMPEL,12,109.8
003BV,2015,De Trumakkers,5591NG,HEEZE,1658,Heeze-Leende,Noord-Brabant,Bo,Openbaar,41662,26.0,CET,26,537.5
003BX,2015,OBS De Hobbitstee,3417WD,MONTFOORT,335,Montfoort,Utrecht,Bo,Openbaar,41401,29.0,CET,29,534.2
003BY,2015,OBS De Wijzer,6658WS,BENEDEN-LEEUWEN,668,West Maas en Waal,Gelderland,Bo,Openbaar,41340,18.0,CET,17,539.4
003CL,2015,Lubertischool,1796AH,DE KOOG,448,Texel,Noord-Holland,Bo,Algemeen bijzonder,41841,5.0,CET,5,536.4
003CO,2015,GBS De Wegwijzer,8331MZ,STEENWIJK,1708,Steenwijkerland,Overijssel,Bo,Gereformeerd vrijgemaakt,41168,5.0,CET,5,530.2
003CT,2015,De Golfslag,4357EN,DOMBURG,717,Veere,Zeeland,Bo,Openbaar,42610,15.0,CET,15,533.5
003CU,2015,OBS De Meander,6665AX,DRIEL,1734,Overbetuwe,Gelderland,Bo,Openbaar,41530,10.0,CET,10,532.5
003CW,2015,OBS Apollo,4841ND,PRINSENBEEK,758,Breda,Noord-Brabant,Bo,Openbaar,41869,17.0,CET,17,531.0
003DG,2015,OBS Klinkenborg,9995PN,KANTENS,1651,Eemsmond,Groningen,Bo,Openbaar,13683,12.0,CET,12,537.2
003DH,2015,OBS De Omnibus,5991PX,BAARLO LB,1894,Peel en Maas,Limburg,Bo,Openbaar,41398,21.0,CET,21,534.8
003DK,2015,Openbare Basisschool,7251BC,VORDEN,1876,Bronckhorst,Gelderland,Bo,Openbaar,41371,18.0,CET,18,531.4
003DV,2015,OBS Prins Claus,3461GH,LINSCHOTEN,335,Montfoort,Utrecht,Bo,Openbaar,41401,26.0,CET,26,536.1
003DW,2015,Obs Houwingaham,9693BG,BAD NIEUWESCHANS,1895,Oldambt,Groningen,Bo,Openbaar,41613,12.0,CET,12,532.1
003DX,2015,Jan Prins,3011GM,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,37.0,CET,36,535.8
003EE,2015,obs De Wereldboom,4561KZ,HULST,677,Hulst,Zeeland,Bo,Openbaar,40803,26.0,CET,26,538.6
003EH,2015,Wereldweide,8091VK,WEZEP,269,Oldebroek,Gelderland,Bo,Openbaar,41345,5.0,CET,5,530.6
003EI,2015,OBS Usquert,9988SC,USQUERT,1651,Eemsmond,Groningen,Bo,Openbaar,13683,12.0,CET,12,534.3
003ES,2015,OBS De Rijnschans,2396XD,KOUDEKERK AAN DEN RIJN,484,Alphen aan den Rijn,Zuid-Holland,Bo,Openbaar,41431,10.0,CET,10,533.7
003EU,2015,De Winde,2631PT,NOOTDORP,1926,Pijnacker-Nootdorp,Zuid-Holland,Bo,Openbaar,41488,41.0,CET,41,532.9
003EV,2015,OBS De Klimop,5541GH,REUSEL,1667,Reusel-De Mierden,Noord-Brabant,Bo,Openbaar,41662,33.0,CET,33,537.2
003FH,2015,De Schutse,3155BM,MAASLAND,1842,Midden-Delfland,Zuid-Holland,Bo,Openbaar,41455,10.0,CET,10,533.8
003FJ,2015,Openbare Bs De Hazelmuis,2821SB,STOLWIJK,623,Vlist,Zuid-Holland,Bo,Openbaar,41401,39.0,CET,39,534.1
003FQ,2015,OBS De Holm,9956PN,DEN ANDEL,53,Winsum,Groningen,Bo,Openbaar,13683,9.0,CET,9,541.3
003FS,2015,Basisschool Hartenaas,5361HZ,GRAVE,786,Grave,Noord-Brabant,Bo,Openbaar,41443,27.0,CET,24,534.3
003FT,2015,Openbare Basisschool De Borgh,9801HG,ZUIDHORN,56,Zuidhorn,Groningen,Bo,Openbaar,41846,31.0,CET,31,534.8
003FU,2015,Arembergschool,8064CD,ZWARTSLUIS,1896,Zwartewaterland,Overijssel,Bo,Openbaar,41816,22.0,CET,21,539.0
003GD,2015,De Lelie,3465KE,DRIEBRUGGEN,1901,Bodegraven-Reeuwijk,Zuid-Holland,Bo,Reformatorisch,41534,21.0,CET,21,537.6
003GE,2015,Prinses Margriet School,3028HW,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Protestants-Christelijk,40237,44.0,CET,44,529.6
003GJ,2015,De Poeljeugd,4472AT,'S-HEER HENDRIKSKINDEREN,664,Goes,Zeeland,Bo,Protestants-Christelijk,41582,11.0,IEP,11,80.2
003GL,2015,De Wegwijzer,5361BN,GRAVE,786,Grave,Noord-Brabant,Bo,Protestants-Christelijk,48348,6.0,CET,6,535.5
003GP,2015,Chr Bs De Open Hof,4631NM,HOOGERHEIDE,873,Woensdrecht,Noord-Brabant,Bo,Protestants-Christelijk,40517,6.0,CET,6,532.8
003GR,2015,Het Mozaiek,7913RE,HOLLANDSCHEVELD,118,Hoogeveen,Drenthe,Bo,Protestants-Christelijk,40655,34.0,CET,33,526.5
103GR,2015,Het Mozaiek,7913TR,HOLLANDSCHEVELD,118,Hoogeveen,Drenthe,Bo,Protestants-Christelijk,40655,12.0,CET,12,533.7
003GT,2015,Chr Basissch De Foareker,8734GL,EASTEREIN,140,Littenseradiel,Friesland,Bo,Protestants-Christelijk,42604,13.0,CET,13,532.8
003GW,2015,PC Basisschool de hoefer,6131KJ,SITTARD,1883,Sittard-Geleen,Limburg,Bo,Protestants-Christelijk,83280,22.0,CET,22,532.8
103GW,2015,PC BS De Regenboog,6164GM,GELEEN,1883,Sittard-Geleen,Limburg,Bo,Protestants-Christelijk,83280,7.0,CET,7,530.9
003HA,2015,RK Basisschool Emmaus,5384BV,HEESCH,1721,Bernheze,Noord-Brabant,Bo,Rooms-Katholiek,41228,59.0,CET,59,537.0
003HB,2015,Koelmanschool,4461RH,GOES,664,Goes,Zeeland,Bo,Reformatorisch,22544,28.0,CET,28,536.8
003HD,2015,Basisschool De Lisbloem,2163AJ,LISSE,553,Lisse,Zuid-Holland,Bo,Protestants-Christelijk,41366,60.0,CET,59,534.5
003HE,2015,Basisschool De Akker,2161HB,LISSE,553,Lisse,Zuid-Holland,Bo,Reformatorisch,22765,47.0,CET,47,538.6
003HF,2015,Bs De Draaiende Wieken,6061EL,POSTERHOLT,1669,Roerdalen,Limburg,Bo,Rooms-Katholiek,41506,31.0,CET,31,535.1
003HG,2015,Basisschool De Bongerd,6031TZ,NEDERWEERT,946,Nederweert,Limburg,Bo,Rooms-Katholiek,50819,25.0,CET,24,529.9
003HH,2015,Basisschool Kon Beatrix,2651CP,BERKEL EN RODENRIJS,1621,Lansingerland,Zuid-Holland,Bo,Gereformeerd vrijgemaakt,41646,19.0,CET,19,538.4
003HI,2015,Basisschool Rehoboth,3135PS,VLAARDINGEN,622,Vlaardingen,Zuid-Holland,Bo,Gereformeerd vrijgemaakt,41646,9.0,CET,9,538.6
003HK,2015,Basissch Guido De Bres,7731DG,OMMEN,175,Ommen,Overijssel,Bo,Gereformeerd vrijgemaakt,41624,27.0,CET,27,535.8
003HL,2015,BS De Zjwiek,6088EH,ROGGEL,1640,Leudal,Limburg,Bo,Rooms-Katholiek,23961,49.0,CET,49,539.7
003HO,2015,GBS Klim-op,9991CM,MIDDELSTUM,24,Loppersum,Groningen,Bo,Gereformeerd vrijgemaakt,41025,6.0,CET,6,537.3
003HP,2015,Rehoboth,8281ZC,GENEMUIDEN,1896,Zwartewaterland,Overijssel,Bo,Reformatorisch,24195,31.0,CET,31,536.3
003HQ,2015,Basisschool 1,7954ER,ROUVEEN,180,Staphorst,Overijssel,Bo,Gereformeerd vrijgemaakt,41168,14.0,CET,14,530.7
003HR,2015,Geref Basissch De Cirkel,9402AR,ASSEN,106,Assen,Drenthe,Bo,Gereformeerd vrijgemaakt,41025,22.0,CET,22,533.7
003HS,2015,GBS Oranje Nassau,9288BA,KOOTSTERTILLE,59,Achtkarspelen,Friesland,Bo,Gereformeerd vrijgemaakt,42607,11.0,CET,10,541.4
003HU,2015,Rehobothschool,3774BG,KOOTWIJKERBROEK,203,Barneveld,Gelderland,Bo,Reformatorisch,24481,55.0,IEP,55,81.9
003HV,2015,Geref Bs De Triangel,2906VK,CAPELLE AAN DEN IJSSEL,502,Capelle aan den IJssel,Zuid-Holland,Bo,Gereformeerd vrijgemaakt,41646,22.0,CET,22,539.1
103HV,2015,Basissch de Triangel,2925BX,KRIMPEN AAN DEN IJSSEL,542,Krimpen aan den IJssel,Zuid-Holland,Bo,Gereformeerd vrijgemaakt,41646,11.0,CET,11,533.6
003HY,2015,Chr Basissch Eben Haezer,4043MA,OPHEUSDEN,1740,Neder-Betuwe,Gelderland,Bo,Reformatorisch,24715,40.0,CET,38,534.5
003HZ,2015,Ds Derksenschool,4119LX,RAVENSWAAIJ,214,Buren,Gelderland,Bo,Protestants-Christelijk,41424,7.0,CET,7,531.6
003IA,2015,Graaf Jan van Nassau Sch,4386AK,VLISSINGEN,718,Vlissingen,Zeeland,Bo,Reformatorisch,24897,10.0,CET,10,536.7
003IB,2015,Chr Basissch De Reinboge,8765LM,TJERKWERD,1900,S·dwest-FryslÔn,Friesland,Bo,Protestants-Christelijk,42604,11.0,CET,11,536.5
003IC,2015,De Toonladder Nutsschool,7491EA,DELDEN,1735,Hof van Twente,Overijssel,Bo,Algemeen bijzonder,25131,29.0,CET,29,537.7
003ID,2015,Chr Basisschool De Vlinder,6051EW,MAASBRACHT,1641,Maasgouw,Limburg,Bo,Protestants-Christelijk,25170,11.0,CET,11,539.6
003IH,2015,Kath Bs Montessorischool,1401CS,BUSSUM,381,Bussum,Noord-Holland,Bo,Rooms-Katholiek,25664,47.0,CET,46,541.8
003IK,2015,Basisschool Eben Haezer,4691HS,THOLEN,716,Tholen,Zeeland,Bo,Reformatorisch,25833,47.0,CET,47,538.8
003IW,2015,Chr Basissch Het Kompas,4401HZ,YERSEKE,703,Reimerswaal,Zeeland,Bo,Protestants-Christelijk,41582,26.0,IEP,26,81.0
003IX,2015,Basisschool Valkenheuvel,3972XL,DRIEBERGEN-RIJSENBURG,1581,Utrechtse Heuvelrug,Utrecht,Bo,Rooms-Katholiek,69447,33.0,CET,33,530.4
003IY,2015,Basisschool Jf Kennedy,6216ED,MAASTRICHT,935,Maastricht,Limburg,Bo,Rooms-Katholiek,41373,83.0,CET,83,534.9
003IZ,2015,Basisschool St Vitus,5855AD,WELL LB,893,Bergen (L.),Limburg,Bo,Rooms-Katholiek,37663,21.0,CET,21,539.8
003JB,2015,Basisschool De Schakel,5684AT,BEST,753,Best,Noord-Brabant,Bo,Algemeen bijzonder,26977,17.0,CET,17,531.9
003JC,2015,Kbs John F Kennedy,4826KA,BREDA,758,Breda,Noord-Brabant,Bo,Rooms-Katholiek,41407,57.0,CET,56,536.3
003JD,2015,Geref Bs P Jongeling,6814CJ,ARNHEM,202,Arnhem,Gelderland,Bo,Gereformeerd vrijgemaakt,40945,21.0,CET,21,533.9
003JE,2015,Basisschool De Ark,4131AR,VIANEN UT,620,Vianen,Utrecht,Bo,Protestants-Christelijk,41528,27.0,CET,26,533.3
003JG,2015,Bs De Kleine Wereld,2451BV,LEIMUIDEN,1884,Kaag en Braassem,Zuid-Holland,Bo,Rooms-Katholiek,40974,18.0,CET,18,532.8
003JH,2015,Basisschool Jeroen Bosch,5246GB,ROSMALEN,796,'s-Hertogenbosch,Noord-Brabant,Bo,Rooms-Katholiek,74049,45.0,CET,44,536.3
003JI,2015,Rk Basisschool G Majella,8171KC,VAASSEN,232,Epe,Gelderland,Bo,Rooms-Katholiek,76806,20.0,CET,20,533.6
003JL,2015,Basissch Titus Brandsma,6441JJ,BRUNSSUM,899,Brunssum,Limburg,Bo,Rooms-Katholiek,41516,27.0,CET,20,534.1
003JP,2015,RK Basissch St Joannes,4751CN,OUD GASTEL,1655,Halderberge,Noord-Brabant,Bo,Rooms-Katholiek,31017,23.0,CET,23,530.1
003JQ,2015,Basisschool Harlekijn,6095AG,BAEXEM,1640,Leudal,Limburg,Bo,Rooms-Katholiek,23961,32.0,CET,32,538.8
003JS,2015,Vrije School De IJssel,7201EV,ZUTPHEN,301,Zutphen,Gelderland,Bo,Antroposofisch,28212,50.0,DREMPEL,49,108.2
003JW,2015,Dr EA Borgerschool,8501HL,JOURE,1921,De Friese Meren,Friesland,Bo,Protestants-Christelijk,42540,28.0,CET,28,537.7
003JX,2015,Basisschool St Joseph,6261NX,MHEER,1903,Eijsden-Margraten,Limburg,Bo,Rooms-Katholiek,42669,19.0,CET,19,540.2
003KA,2015,RK BS St. Willibrordus,4301KB,ZIERIKZEE,1676,Schouwen-Duiveland,Zeeland,Bo,Rooms-Katholiek,77533,29.0,CET,29,532.9
003KI,2015,bs 't Bossche Hart,4744BX,BOSSCHENHOOFD,1655,Halderberge,Noord-Brabant,Bo,Rooms-Katholiek,31017,21.0,CET,20,539.3
003KJ,2015,Gemma School,5916SR,VENLO,983,Venlo,Limburg,Bo,Rooms-Katholiek,41018,24.0,CET,24,536.9
003KM,2015,Chr Bs Prins W Alexander,8121BR,OLST,1773,Olst-Wijhe,Overijssel,Bo,Protestants-Christelijk,40894,18.0,CET,17,533.1
003KP,2015,CBS Koning Willem-Alexander,9981KJ,UITHUIZEN,1651,Eemsmond,Groningen,Bo,Protestants-Christelijk,41261,24.0,IEP,24,82.5
003KR,2015,Basisschool De Lichtbron,9602PK,HOOGEZAND,18,Hoogezand-Sappemeer,Groningen,Bo,Gereformeerd vrijgemaakt,41025,19.0,CET,19,535.3
003KS,2015,RK Basissch C v Leeuwen,6961ZE,EERBEEK,213,Brummen,Gelderland,Bo,Rooms-Katholiek,76806,24.0,CET,24,539.0
003KT,2015,De Planthof,8303HL,EMMELOORD,171,Noordoostpolder,Flevoland,Bo,Gereformeerd vrijgemaakt,41632,25.0,CET,25,536.8
003KV,2015,Basisschool Dr A Comrie,4416DE,KRUININGEN,703,Reimerswaal,Zeeland,Bo,Reformatorisch,29473,36.0,CET,36,534.8
003KW,2015,Basisschool Comenius,3703CG,ZEIST,355,Zeist,Utrecht,Bo,Protestants-Christelijk,29577,46.0,CET,46,539.6
003LA,2015,Sint-Petrusschool,1111HL,DIEMEN,384,Diemen,Noord-Holland,Bo,Rooms-Katholiek,29863,28.0,CET,28,535.4
003LD,2015,Basisschool Neel,6042NG,ROERMOND,957,Roermond,Limburg,Bo,Rooms-Katholiek,41692,42.0,CET,42,531.9
003LE,2015,Basissch De Steenen Brug,6041LV,ROERMOND,957,Roermond,Limburg,Bo,Rooms-Katholiek,41692,26.0,CET,26,533.2
003LJ,2015,c.b.s. Vizier,8271VG,IJSSELMUIDEN,166,Kampen,Overijssel,Bo,Protestants-Christelijk,41125,15.0,DREMPEL,15,100.7
003LK,2015,Basissch De Dobbelsteen,7071KA,ULFT,1509,Oude IJsselstreek,Gelderland,Bo,Rooms-Katholiek,50129,39.0,CET,39,527.5
003LN,2015,Wittenberg-school,3925BW,SCHERPENZEEL GLD,279,Scherpenzeel,Gelderland,Bo,Reformatorisch,31189,39.0,CET,39,540.9
003LQ,2015,Ds Joannes Beukelmansch,2951VE,ALBLASSERDAM,482,Alblasserdam,Zuid-Holland,Bo,Reformatorisch,31077,77.0,CET,76,534.1
003LS,2015,Klim Op School,7461EJ,RIJSSEN,1742,Rijssen-Holten,Overijssel,Bo,Rooms-Katholiek,68836,30.0,CET,30,537.7
003LX,2015,Bs Drie Koningen,3454AB,DE MEERN,344,Utrecht,Utrecht,Bo,Rooms-Katholiek,32099,82.0,CET,82,533.7
003LY,2015,RK BS Laurentius,4835CD,BREDA,758,Breda,Noord-Brabant,Bo,Rooms-Katholiek,32203,118.0,CET,118,540.5
003MA,2015,Basissch Klimop,5366AK,MEGEN,828,Oss,Noord-Brabant,Bo,Rooms-Katholiek,48348,24.0,CET,24,540.3
003MF,2015,Basisschool Rehoboth,3888KD,UDDEL,200,Apeldoorn,Gelderland,Bo,Reformatorisch,35297,41.0,CET,41,537.0
003MH,2015,Petrus en Paulus School,5466RS,VEGHEL,860,Veghel,Noord-Brabant,Bo,Rooms-Katholiek,73712,25.0,CET,25,531.2
003MI,2015,Martin Luther Kingschool,3738EB,MAARTENSDIJK,310,De Bilt,Utrecht,Bo,Protestants-Christelijk,41794,28.0,CET,28,539.6
003MJ,2015,Eben-Haëzerschool,3541SC,UTRECHT,344,Utrecht,Utrecht,Bo,Reformatorisch,41534,5.0,CET,5,539.8
